ConductionBandEnergy(C1(n63953_programmed_des)) X,ConductionBandEnergy(C1(n63953_programmed_des)) Y,ConductionBandEnergy(C3(n63953_programmed_des)) X,ConductionBandEnergy(C3(n63953_programmed_des)) Y,ConductionBandEnergy(C4(n63953_programmed_des)) X,ConductionBandEnergy(C4(n63953_programmed_des)) Y
0,3.6673382,0,3.6376524,0,3.6584553
0.001484112,3.6696874,0.0027956527,3.6401082,0.0099999998,3.6714605
0.0099999998,3.6840078,0.0099999998,3.6428428,0.015,3.6925821
0.010742056,3.6878866,0.011397826,3.6466572,0.0175,3.7092702
0.015,3.7116348,0.015,3.6501394,0.02,0.55860103
0.015371027,3.7147316,0.015698913,3.653065,0.02,0.55860103
0.0175,3.7337441,0.0175,3.6553372,0.022,0.5684165
0.017871028,3.2669958,0.018198913,2.7721449,0.024,0.58445273
0.02,0.59047489,0.02,0.48900012,0.026000001,0.60684424
0.02,0.59047489,0.02,0.48900012,0.027000001,0.62125454
0.020296821,0.59232467,0.02055913,0.49064003,0.0275,0.62945196
0.022,0.60372617,0.022,0.49153789,0.02775,0.63378838
0.022296822,0.60676503,0.022559131,0.49416544,0.027875001,0.6360166
0.024,0.6255198,0.024,0.49534631,0.0279375,0.63714587
0.024593646,0.63525422,0.025118262,0.49984461,0.027968749,0.63771431
0.026000001,0.65695323,0.026000001,0.50066274,0.027984375,0.63799948
0.026593644,0.66922693,0.026881738,0.50324122,0.028000001,0.6382853
0.027000001,0.67730651,0.027000001,0.50379848,0.028000001,0.6382853
0.027296823,0.68403616,0.027059132,0.50410744,0.028019531,3.8120991
0.0275,0.68863193,0.0275,0.50547726,0.028039062,3.8131729
0.027648412,0.69217534,0.027529566,0.50563921,0.028078126,3.8153219
0.02775,0.69460583,0.02775,0.50634854,0.028156251,3.8196264
0.027824206,0.69642402,0.027764782,0.5064314,0.028312501,3.8282626
0.027875001,0.69767266,0.027875001,0.50679235,0.028625,3.8456574
0.027912103,0.69859357,0.027882392,0.50683426,0.02925,3.8810537
0.0279375,0.69922631,0.0279375,0.50701631,0.0305,3.9554883
0.027956052,0.69968973,0.027941195,0.50703739,0.031750001,4.0353439
0.027968749,0.70000822,0.027968749,0.50712881,0.032375,4.0788997
0.027978025,0.70024068,0.027970597,0.50713938,0.0326875,4.1016437
0.027984375,0.70040046,0.027984375,0.50718519,0.03284375,4.1132626
0.027993651,0.70063341,0.027986223,0.50719578,0.032921877,4.1191334
0.028000001,0.70079354,0.028000001,0.50724166,0.032960936,4.1220839
0.028000001,0.70079354,0.028000001,0.50724166,0.032980468,4.123563
0.028011594,2.585148,0.028002311,0.88249852,0.033,3.1250446
0.028019531,3.8750101,0.028019531,3.6801941,0.033,3.1250446
0.028031126,3.8758852,0.02802184,3.6802339,0.033023439,3.1259449
0.028039062,3.8764867,0.028039062,3.6804061,0.033046875,3.1267956
0.028062252,3.8782381,0.028043682,3.6804857,0.03309375,3.1283475
0.028078126,3.8794421,0.028078126,3.6808301,0.033187501,3.130855
0.028124504,3.8829495,0.028087365,3.6809894,0.033374999,3.1334865
0.028156251,3.885361,0.028156251,3.6816787,0.033750001,3.1291989
0.028249007,3.8923963,0.02817473,3.681998,0.034499999,3.0813931
0.028312501,3.897234,0.028312501,3.6833778,0.035250001,2.9899429
0.028498014,3.9113954,0.028349457,3.6840198,0.035999998,2.8597981
0.028625,3.9211371,0.028625,3.6867853,0.03675,2.7216765
0.028996028,3.9498902,0.028698914,3.688086,0.037500001,2.5892245
0.02925,3.9696991,0.02925,3.6936457,0.038249999,2.4773599
0.029757945,4.0112416,0.029397829,3.6963518,0.038624998,2.447174
0.0305,4.0706144,0.0305,3.7075701,0.038812499,2.4388012
0.031242056,4.1361614,0.031602174,3.7193707,0.03890625,2.4362746
0.031750001,4.1804906,0.031750001,3.7222437,0.038953125,2.4354238
0.032121029,4.2154763,0.031823914,3.723807,0.038976561,2.4351013
0.032375,4.239472,0.032375,3.7299492,0.039000001,2.4348472
0.032560512,4.2576714,0.032411959,3.7307685,0.039000001,2.4348472
0.0326875,4.2701507,0.0326875,3.7339393,0.039015625,3.4345659
0.032780256,4.279444,0.032705978,3.7343591,0.039031249,3.4342855
0.03284375,4.2858066,0.03284375,3.7359759,0.0390625,3.4337278
0.03289013,4.2905043,0.032852989,3.7361883,0.039124999,3.4326236
0.032921877,4.2937163,0.032921877,3.7370057,0.039250001,3.4304577
0.032945063,4.2960783,0.032926496,3.7371125,0.039500002,3.4262771
0.032960936,4.2976919,0.032960936,3.7375236,0.039999999,3.4184269
0.03297253,4.2988763,0.032963246,3.7375772,0.0405,3.4111514
0.032980468,4.299685,0.032980468,3.7377834,0.041000001,3.4043927
0.032992061,3.7072272,0.032982778,3.6195743,0.041499998,3.3981074
0.033,3.3016815,0.033,2.7380437,0.041999999,3.3922577
0.033,3.3016815,0.033,2.7380437,0.0425,3.3868077
0.033013914,3.3024085,0.033002771,2.7380741,0.043000001,3.3817227
0.033023439,3.3029044,0.033023439,2.7381797,0.043499999,3.3769686
0.033037353,3.3036032,0.033026211,2.7382039,0.044,3.3725111
0.033046875,3.3040793,0.033046875,2.7382627,0.044500001,3.3683159
0.033074703,3.3053922,0.033052418,2.7382925,0.045000002,3.3643476
0.03309375,3.3062851,0.03309375,2.7382696,0.045499999,3.3605697
0.033149406,3.3085734,0.033104837,2.7382549,0.046,3.356945
0.033187501,3.310122,0.033187501,2.7376485,0.046500001,3.3534348
0.033298809,3.3133588,0.033209674,2.7373224,0.046999998,0
0.033374999,3.3155088,0.033374999,2.7338773,0.046999998,0
0.033597618,3.316722,0.033419348,2.7320423,0.047937501,0
0.033750001,3.3172275,0.033750001,2.7163387,0.048875,0
0.034054767,3.302675,0.033838697,2.7082068,0.050749999,0
0.034499999,3.2785396,0.034499999,2.6501186,0.054499999,0
0.034722615,3.2548906,0.034919348,2.6044943,0.061999999,0
0.035250001,3.1994268,0.035250001,2.5775236,0.069499999,0
