eTrappedCharge(C1(n63958_0s_des)) X,eTrappedCharge(C1(n63958_0s_des)) Y,eTrappedCharge(C2(n63958_0s_des)) X,eTrappedCharge(C2(n63958_0s_des)) Y,eTrappedCharge(C3(n63958_0s_des)) X,eTrappedCharge(C3(n63958_0s_des)) Y,eTrappedCharge(C4(n63958_0s_des)) X,eTrappedCharge(C4(n63958_0s_des)) Y,hTrappedCharge(C1(n63958_0s_des)) X,hTrappedCharge(C1(n63958_0s_des)) Y,hTrappedCharge(C2(n63958_0s_des)) X,hTrappedCharge(C2(n63958_0s_des)) Y,hTrappedCharge(C3(n63958_0s_des)) X,hTrappedCharge(C3(n63958_0s_des)) Y,hTrappedCharge(C4(n63958_0s_des)) X,hTrappedCharge(C4(n63958_0s_des)) Y
0.0013597548,0,0,0,0,0,0,0,0.0013597548,0,0,0,0,0,0,0
0.0099999998,0,0.0090004094,0,0.0054694554,0,0.0021845184,0,0.0099999998,0,0.0090004094,0,0.0054694554,0,0.0021845184,0
0.010679877,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.010679877,0,0.0099999998,0,0.0099999998,0,0.0099999998,0
0.015,0,0.014500204,0,0.012734728,0,0.011092259,0,0.015,0,0.014500204,0,0.012734728,0,0.011092259,0
0.015339938,0,0.015,0,0.015,0,0.015,0,0.015339938,0,0.015,0,0.015,0,0.015,0
0.0175,0,0.017250102,0,0.016367365,0,0.015546129,0,0.0175,0,0.017250102,0,0.016367365,0,0.015546129,0
0.017839938,0,0.0175,0,0.0175,0,0.0175,0,0.017839938,0,0.0175,0,0.0175,0,0.0175,0
0.02,0,0.019750101,0,0.018867364,0,0.018046129,0,0.02,0,0.019750101,0,0.018867364,0,0.018046129,0
0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0
0.020271951,0,0.02,0,0.02,0,0.02,0,0.020271951,0,0.02,0,0.02,0,0.02,0
0.022,0,0.021800082,0,0.02109389,0,0.020436903,0,0.022,0,0.021800082,0,0.02109389,0,0.020436903,0
0.022271952,0,0.022,0,0.022,0,0.022,0,0.022271952,0,0.022,0,0.022,0,0.022,0
0.024,0,0.023800083,0,0.02309389,0,0.022436904,0,0.024,0,0.023800083,0,0.02309389,0,0.022436904,0
0.024543902,0,0.024,0,0.024,0,0.024,0,0.024543902,0,0.024,0,0.024,0,0.024,0
0.026000001,0,0.024399836,0,0.025812218,0,0.024873808,0,0.026000001,0,0.024399836,0,0.025812218,0,0.024873808,0
0.026543904,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026543904,0,0.026000001,0,0.026000001,0,0.026000001,0
0.027000001,0,0.026399836,0,0.026187783,0,0.026873808,0,0.027000001,0,0.026399836,0,0.026187783,0,0.026873808,0
0.027271952,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027271952,0,0.027000001,0,0.027000001,0,0.027000001,0
0.0275,0,0.027300082,0,0.027093893,0,0.027436903,0,0.0275,0,0.027300082,0,0.027093893,0,0.027436903,0
0.027635977,0,0.0275,0,0.0275,0,0.0275,0,0.027635977,0,0.0275,0,0.0275,0,0.0275,0
0.02775,0,0.027650042,0,0.027546946,0,0.027718453,0,0.02775,0,0.027650042,0,0.027546946,0,0.027718453,0
0.027817989,0,0.02775,0,0.02775,0,0.02775,0,0.027817989,0,0.02775,0,0.02775,0,0.02775,0
0.027875001,0,0.02782502,0,0.027773473,0,0.027859226,0,0.027875001,0,0.02782502,0,0.027773473,0,0.027859226,0
0.027908994,0,0.027875001,0,0.027875001,0,0.027875001,0,0.027908994,0,0.027875001,0,0.027875001,0,0.027875001,0
0.0279375,0,0.027912511,0,0.027886737,0,0.027929613,0,0.0279375,0,0.027912511,0,0.027886737,0,0.027929613,0
0.027954496,0,0.0279375,0,0.0279375,0,0.0279375,0,0.027954496,0,0.0279375,0,0.0279375,0,0.0279375,0
0.027968749,0,0.027956255,0,0.027943367,0,0.027964806,0,0.027968749,0,0.027956255,0,0.027943367,0,0.027964806,0
0.027977249,0,0.027968749,0,0.027968749,0,0.027968749,0,0.027977249,0,0.027968749,0,0.027968749,0,0.027968749,0
0.027984375,0,0.027978128,0,0.027971683,0,0.027982403,0,0.027984375,0,0.027978128,0,0.027971683,0,0.027982403,0
0.027992874,0,0.027984375,0,0.027984375,0,0.027984375,0,0.027992874,0,0.027984375,0,0.027984375,0,0.027984375,0
0.028000001,0,0.027993754,0,0.027987309,0,0.027998028,0,0.028000001,0,0.027993754,0,0.027987309,0,0.027998028,0
0.028000001,0,0.028000001,0,0.028000001,0,0.028000001,0,0.028000001,0,0.028000001,0,0.028000001,0,0.028000001,0
0.028010624,0,0.028000001,0,0.028000001,0,0.028000001,0,0.028010624,0,0.028000001,0,0.028000001,0,0.028000001,0
0.028019531,0,0.028011722,0,0.028003668,0,0.028017066,0,0.028019531,0,0.028011722,0,0.028003668,0,0.028017066,0
0.028030153,0,0.028019531,0,0.028019531,0,0.028019531,0,0.028030153,0,0.028019531,0,0.028019531,0,0.028019531,0
0.028039062,0,0.028031252,0,0.028023198,0,0.028036598,0,0.028039062,0,0.028031252,0,0.028023198,0,0.028036598,0
0.02806031,0,0.028039062,0,0.028039062,0,0.028039062,0,0.02806031,0,0.028039062,0,0.028039062,0,0.028039062,0
0.028078126,0,0.028062508,0,0.028046397,0,0.028073195,0,0.028078126,0,0.028062508,0,0.028046397,0,0.028073195,0
0.028120618,0,0.028078126,0,0.028078126,0,0.028078126,0,0.028120618,0,0.028078126,0,0.028078126,0,0.028078126,0
0.028156251,0,0.028125014,0,0.028092796,0,0.028146392,0,0.028156251,0,0.028125014,0,0.028092796,0,0.028146392,0
0.028241236,0,0.028156251,0,0.028156251,0,0.028156251,0,0.028241236,0,0.028156251,0,0.028156251,0,0.028156251,0
0.028312501,0,0.028250026,0,0.028185591,0,0.028292783,0,0.028312501,0,0.028250026,0,0.028185591,0,0.028292783,0
0.028482471,0,0.028312501,0,0.028312501,0,0.028312501,0,0.028482471,0,0.028312501,0,0.028312501,0,0.028312501,0
0.028625,0,0.028500052,0,0.028371183,0,0.028585564,0,0.028625,0,0.028500052,0,0.028371183,0,0.028585564,0
0.028964939,0,0.028625,0,0.028625,0,0.028625,0,0.028964939,0,0.028625,0,0.028625,0,0.028625,0
0.02925,0,0.029000103,0,0.028742366,0,0.02917113,0,0.02925,0,0.029000103,0,0.028742366,0,0.02917113,0
0.029820122,0,0.02925,0,0.02925,0,0.02925,0,0.029820122,0,0.02925,0,0.02925,0,0.02925,0
0.0305,0,0.030000206,0,0.030265272,0,0.029407742,0,0.0305,0,0.030000206,0,0.030265272,0,0.029407742,0
0.031179879,0,0.0305,0,0.0305,0,0.0305,0,0.031179879,0,0.0305,0,0.0305,0,0.0305,0
0.031750001,0,0.030999795,0,0.030734729,0,0.031592261,0,0.031750001,0,0.030999795,0,0.030734729,0,0.031592261,0
0.032089941,0,0.031750001,0,0.031750001,0,0.031750001,0,0.032089941,0,0.031750001,0,0.031750001,0,0.031750001,0
0.032375,0,0.032125104,0,0.031867366,0,0.032296129,0,0.032375,0,0.032125104,0,0.031867366,0,0.032296129,0
0.032544971,0,0.032375,0,0.032375,0,0.032375,0,0.032544971,0,0.032375,0,0.032375,0,0.032375,0
0.0326875,0,0.03256255,0,0.032433681,0,0.032648064,0,0.0326875,0,0.03256255,0,0.032433681,0,0.032648064,0
0.032772485,0,0.0326875,0,0.0326875,0,0.0326875,0,0.032772485,0,0.0326875,0,0.0326875,0,0.0326875,0
0.03284375,0,0.032781277,0,0.032716841,0,0.032824032,0,0.03284375,0,0.032781277,0,0.032716841,0,0.032824032,0
0.032886244,0,0.03284375,0,0.03284375,0,0.03284375,0,0.032886244,0,0.03284375,0,0.03284375,0,0.03284375,0
0.032921877,0,0.03289064,0,0.03285842,0,0.032912016,0,0.032921877,0,0.03289064,0,0.03285842,0,0.032912016,0
0.032943122,0,0.032921877,0,0.032921877,0,0.032921877,0,0.032943122,0,0.032921877,0,0.032921877,0,0.032921877,0
0.032960936,0,0.03294532,0,0.032929212,0,0.032956008,0,0.032960936,0,0.03294532,0,0.032929212,0,0.032956008,0
0.032971561,0,0.032960936,0,0.032960936,0,0.032960936,0,0.032971561,0,0.032960936,0,0.032960936,0,0.032960936,0
0.032980468,0,0.03297266,0,0.032964606,0,0.032978002,0,0.032980468,0,0.03297266,0,0.032964606,0,0.032978002,0
0.032991093,2.2168328e+19,0.032980468,0,0.032980468,0,0.032980468,0,0.032991093,2.7021477e-17,0.032980468,0,0.032980468,0,0.032980468,0
0.033,4.0757418e+19,0.032992192,2.4462041e+19,0.032984138,7.6538451e+18,0.032997534,3.5615249e+19,0.033,5.5963645e-17,0.032992192,0.0012898482,0.032984138,0.0001743325,0.032997534,2.6486097e-17
0.033,4.0757418e+19,0.033,4.0758908e+19,0.033,4.0758879e+19,0.033,4.0758714e+19,0.033,5.5963645e-17,0.033,0.0021287036,0.033,0.00065039534,0.033,3.0431994e-17
0.033012748,4.0757287e+19,0.033,4.0758908e+19,0.033,4.0758879e+19,0.033,4.0758714e+19,0.033012748,5.3678811e-17,0.033,0.0021287036,0.033,0.00065039534,0.033,3.0431994e-17
0.033023439,4.0757011e+19,0.033014067,4.0758905e+19,0.033004403,4.0758878e+19,0.033020481,4.07587e+19,0.033023439,5.1150424e-17,0.033014067,0.0019063566,0.033004403,0.00061879198,0.033020481,2.8136666e-17
0.033036187,4.0756853e+19,0.033023439,4.0758903e+19,0.033023439,4.0758873e+19,0.033023439,4.0758697e+19,0.033036187,4.9402354e-17,0.033023439,0.0017597367,0.033023439,0.00053370173,0.033023439,2.781878e-17
0.033046875,4.075653e+19,0.033037506,4.0758899e+19,0.033027839,4.0758872e+19,0.033043917,4.075868e+19,0.033046875,4.7248913e-17,0.033037506,0.0015989525,0.033027839,0.00051408637,0.033043917,2.7193602e-17
0.033072371,4.0756023e+19,0.033046875,4.0758897e+19,0.033046875,4.0758867e+19,0.033046875,4.0758676e+19,0.033072371,4.47158e-17,0.033046875,0.0014959902,0.033046875,0.00046104765,0.033046875,2.7048667e-17
0.03309375,4.0754634e+19,0.033075009,4.075889e+19,0.033055678,4.0758864e+19,0.033087835,4.0758627e+19,0.03309375,4.1783626e-17,0.033075009,0.0012178297,0.033055678,0.00042468126,0.033087835,2.5559024e-17
0.033144742,4.0750615e+19,0.03309375,4.0758885e+19,0.03309375,4.0758853e+19,0.03309375,4.0758616e+19,0.033144742,3.8917707e-17,0.03309375,0.0010376833,0.03309375,0.00032599952,0.03309375,2.5286221e-17
0.033187501,4.07397e+19,0.033150017,4.0758865e+19,0.033111356,4.0758845e+19,0.03317567,4.0758484e+19,0.033187501,3.5815828e-17,0.033150017,0.000690586,0.033111356,0.00027943556,0.03317567,2.3038182e-17
0.033289481,4.0658391e+19,0.033187501,4.0758852e+19,0.033187501,4.0758811e+19,0.033187501,4.0758442e+19,0.033289481,3.4972576e-17,0.033187501,0.00046534401,0.033187501,0.00015196072,0.033187501,2.2644031e-17
0.033374999,4.0415371e+19,0.033300031,4.0758806e+19,0.033222709,4.0758792e+19,0.033351339,4.0756692e+19,0.033374999,3.5025951e-17,0.033300031,0.00023215367,0.033222709,0.00011897188,0.033351339,1.9400999e-17
0.033578962,3.1952645e+19,0.033374999,4.0758774e+19,0.033374999,4.0758691e+19,0.033374999,4.0756089e+19,0.033578962,2.8876345e-16,0.033374999,8.0025739e-05,0.033374999,2.7272993e-05,0.033374999,1.8932916e-17
