AveNitride1 eTrappedCharge(n50525_des) X,AveNitride1 eTrappedCharge(n50525_des) Y,AveNitride1 eTrappedCharge(n50525_des_2) X,AveNitride1 eTrappedCharge(n50525_des_2) Y
1e-08,7.0997799e+18,1e-08,7.0997811e+18
3e-08,7.0997773e+18,3e-08,7.0997811e+18
7e-08,7.0997723e+18,7e-08,7.099781e+18
1e-07,7.0997685e+18,1e-07,7.0997809e+18
1.8e-07,7.0997585e+18,1.8e-07,7.0997807e+18
2e-07,7.099756e+18,2e-07,7.0997807e+18
3.6e-07,7.0997362e+18,3.6e-07,7.0997803e+18
6.8e-07,7.0996975e+18,6.8e-07,7.0997796e+18
1e-06,7.0996596e+18,1e-06,7.0997788e+18
1.64e-06,7.0995869e+18,1.64e-06,7.0997774e+18
2.92e-06,7.099453e+18,2.92e-06,7.0997744e+18
5.48e-06,7.0992229e+18,5.48e-06,7.0997685e+18
1e-05,7.0989035e+18,1e-05,7.0997582e+18
2.024e-05,7.0984266e+18,2.024e-05,7.0997348e+18
4.072e-05,7.0978567e+18,4.072e-05,7.0996886e+18
8.168e-05,7.0971196e+18,8.168e-05,7.0995978e+18
0.0001,7.096829e+18,0.0001,7.0995575e+18
0.00018192,7.0957858e+18,0.00018192,7.0993835e+18
0.00034576,7.0942222e+18,0.00034576,7.0990564e+18
0.00067344,7.0921625e+18,0.00067344,7.0984675e+18
0.001,7.0906812e+18,0.001,7.0979326e+18
0.00165536,7.0886165e+18,0.00165536,7.097007e+18
0.00296608,7.0856325e+18,0.00296608,7.0955185e+18
0.00558752,7.0812978e+18,0.00558752,7.0933055e+18
0.01,7.0762163e+18,0.01,7.0906462e+18
0.02048576,7.069143e+18,0.02048576,7.0866895e+18
0.04145728,7.0612442e+18,0.04145728,7.0820681e+18
0.08340032,7.0521796e+18,0.08340032,7.0769597e+18
0.1,7.0492102e+18,0.1,7.0753349e+18
0.18388608,7.0400744e+18,0.18388608,7.0705696e+18
0.2,7.0384924e+18,0.2,7.0697514e+18
0.36777216,7.0289479e+18,0.36777216,7.0647678e+18
0.5,7.023528e+18,0.5,7.0619052e+18
0.83554432,7.0145445e+18,0.83554432,7.0571876e+18
1,7.0108305e+18,1,7.0552531e+18
1.6710886,7.0003501e+18,1.6710886,7.0497703e+18
2,6.9959686e+18,2,7.0474472e+18
2.3355443,6.992068e+18,2.6710886,7.0435293e+18
3.006633,6.98569e+18,4,7.0373208e+18
4,6.9780558e+18,4.6710886,7.0344654e+18
5.3421773,6.9695928e+18,5.3421773,7.031822e+18
6.6710886,6.96235e+18,6.0132659,7.029347e+18
8,6.9558929e+18,7.3554432,7.0248858e+18
9.0505967,6.9511739e+18,8,7.0228411e+18
10.101193,6.9467729e+18,9.3421773,7.0189217e+18
10.626492,6.944645e+18,10.684355,7.0152832e+18
11.677088,6.9406415e+18,12.026532,7.0118844e+18
12.727685,6.9368609e+18,14.710886,7.0058395e+18
13.252983,6.9350231e+18,16,7.0030918e+18
13.778282,6.933235e+18,17.342177,7.0003823e+18
14.828878,6.929839e+18,18.684355,6.9978099e+18
16,6.9262555e+18,19.355443,6.9965564e+18
19.703412,6.9164801e+18,20.69762,6.9941688e+18
21.555118,6.9119333e+18,21.368709,6.9930035e+18
23.406823,6.9076871e+18,22.710886,6.9907782e+18
27.110235,6.9001587e+18,23.381975,6.9896907e+18
29.555118,6.8955524e+18,24.724152,6.9876092e+18
32,6.8912632e+18,26.06633,6.9856142e+18
33.932849,6.8880506e+18,27.408507,6.9836998e+18
35.865699,6.8849992e+18,28.750684,6.9818604e+18
39.731397,6.8794341e+18,31.435039,6.9784453e+18
40.697822,6.8780748e+18,32,6.9777379e+18
42.630671,6.8754737e+18,34.684355,6.9746034e+18
44.563521,6.8729802e+18,37.368709,6.9716705e+18
48.429219,6.8683626e+18,40.053064,6.9689176e+18
56.160616,6.8602691e+18,42.737418,6.9663262e+18
60.080308,6.8564235e+18,44.079596,6.9650687e+18
62.040154,6.8545611e+18,46.76395,6.9626917e+18
64,6.8527553e+18,49.448305,6.9604395e+18
67.098788,6.8500293e+18,50.119393,6.9598841e+18
67.486137,6.8496906e+18,51.461571,6.9588022e+18
68.260834,6.8490209e+18,52.803748,6.957748e+18
69.810228,6.8477112e+18,53.474836,6.9572276e+18
72.909017,6.8452015e+18,54.145925,6.9567137e+18
